"split_id","peak_estimate"
"s00001_A",0.12
"s00001_B",0.115
"s00002_A",0.12
"s00002_B",0.115
"s00003_A",0.115
"s00003_B",0.12
"s00004_A",0.115
"s00004_B",0.115
"s00005_A",0.11
"s00005_B",0.12
"s00006_A",0.115
"s00006_B",0.12
"s00007_A",0.12
"s00007_B",0.115
"s00008_A",0.115
"s00008_B",0.115
"s00009_A",0.115
"s00009_B",0.12
"s00010_A",0.115
"s00010_B",0.12
"s00011_A",0.115
"s00011_B",0.12
"s00012_A",0.115
"s00012_B",0.12
"s00013_A",0.12
"s00013_B",0.115
"s00014_A",0.115
"s00014_B",0.115
"s00015_A",0.115
"s00015_B",0.12
"s00016_A",0.115
"s00016_B",0.12
"s00017_A",0.11
"s00017_B",0.12
"s00018_A",0.12
"s00018_B",0.115
"s00019_A",0.12
"s00019_B",0.115
"s00020_A",0.115
"s00020_B",0.115
"s00021_A",0.11
"s00021_B",0.12
"s00022_A",0.115
"s00022_B",0.12
"s00023_A",0.115
"s00023_B",0.115
"s00024_A",0.12
"s00024_B",0.115
"s00025_A",0.12
"s00025_B",0.115
"s00026_A",0.12
"s00026_B",0.11
"s00027_A",0.12
"s00027_B",0.115
"s00028_A",0.115
"s00028_B",0.125
"s00029_A",0.115
"s00029_B",0.115
"s00030_A",0.12
"s00030_B",0.115
"s00031_A",0.12
"s00031_B",0.115
"s00032_A",0.12
"s00032_B",0.115
"s00033_A",0.115
"s00033_B",0.12
"s00034_A",0.115
"s00034_B",0.115
"s00035_A",0.115
"s00035_B",0.115
"s00036_A",0.115
"s00036_B",0.115
"s00037_A",0.115
"s00037_B",0.12
"s00038_A",0.12
"s00038_B",0.115
"s00039_A",0.12
"s00039_B",0.115
"s00040_A",0.12
"s00040_B",0.115
"s00041_A",0.12
"s00041_B",0.115
"s00042_A",0.12
"s00042_B",0.115
"s00043_A",0.11
"s00043_B",0.12
"s00044_A",0.12
"s00044_B",0.115
"s00045_A",0.12
"s00045_B",0.115
"s00046_A",0.11
"s00046_B",0.12
"s00047_A",0.115
"s00047_B",0.12
"s00048_A",0.115
"s00048_B",0.115
"s00049_A",0.125
"s00049_B",0.11
"s00050_A",0.115
"s00050_B",0.115
"s00051_A",0.115
"s00051_B",0.115
"s00052_A",0.115
"s00052_B",0.115
"s00053_A",0.115
"s00053_B",0.115
"s00054_A",0.12
"s00054_B",0.115
"s00055_A",0.115
"s00055_B",0.12
"s00056_A",0.115
"s00056_B",0.12
"s00057_A",0.12
"s00057_B",0.115
"s00058_A",0.12
"s00058_B",0.115
"s00059_A",0.115
"s00059_B",0.115
"s00060_A",0.12
"s00060_B",0.115
"s00061_A",0.11
"s00061_B",0.12
"s00062_A",0.12
"s00062_B",0.115
"s00063_A",0.11
"s00063_B",0.125
"s00064_A",0.115
"s00064_B",0.115
"s00065_A",0.12
"s00065_B",0.115
"s00066_A",0.115
"s00066_B",0.12
"s00067_A",0.115
"s00067_B",0.115
"s00068_A",0.12
"s00068_B",0.115
"s00069_A",0.115
"s00069_B",0.12
"s00070_A",0.12
"s00070_B",0.115
"s00071_A",0.12
"s00071_B",0.115
"s00072_A",0.12
"s00072_B",0.115
"s00073_A",0.12
"s00073_B",0.115
"s00074_A",0.12
"s00074_B",0.115
"s00075_A",0.115
"s00075_B",0.115
"s00076_A",0.115
"s00076_B",0.12
"s00077_A",0.115
"s00077_B",0.12
"s00078_A",0.115
"s00078_B",0.12
"s00079_A",0.115
"s00079_B",0.12
"s00080_A",0.12
"s00080_B",0.11
"s00081_A",0.12
"s00081_B",0.115
"s00082_A",0.115
"s00082_B",0.12
"s00083_A",0.12
"s00083_B",0.115
"s00084_A",0.12
"s00084_B",0.115
"s00085_A",0.125
"s00085_B",0.11
"s00086_A",0.115
"s00086_B",0.115
"s00087_A",0.115
"s00087_B",0.12
"s00088_A",0.12
"s00088_B",0.115
"s00089_A",0.115
"s00089_B",0.12
"s00090_A",0.12
"s00090_B",0.115
"s00091_A",0.115
"s00091_B",0.115
"s00092_A",0.115
"s00092_B",0.115
"s00093_A",0.115
"s00093_B",0.115
"s00094_A",0.115
"s00094_B",0.115
"s00095_A",0.115
"s00095_B",0.12
"s00096_A",0.115
"s00096_B",0.115
"s00097_A",0.115
"s00097_B",0.12
"s00098_A",0.115
"s00098_B",0.12
"s00099_A",0.115
"s00099_B",0.12
"s00100_A",0.12
"s00100_B",0.115
"s00101_A",0.12
"s00101_B",0.115
"s00102_A",0.115
"s00102_B",0.115
"s00103_A",0.115
"s00103_B",0.115
"s00104_A",0.115
"s00104_B",0.115
"s00105_A",0.115
"s00105_B",0.12
"s00106_A",0.115
"s00106_B",0.115
"s00107_A",0.12
"s00107_B",0.115
"s00108_A",0.12
"s00108_B",0.115
"s00109_A",0.115
"s00109_B",0.115
"s00110_A",0.125
"s00110_B",0.115
"s00111_A",0.12
"s00111_B",0.115
"s00112_A",0.12
"s00112_B",0.115
"s00113_A",0.115
"s00113_B",0.115
"s00114_A",0.115
"s00114_B",0.12
"s00115_A",0.115
"s00115_B",0.12
"s00116_A",0.115
"s00116_B",0.115
"s00117_A",0.115
"s00117_B",0.115
"s00118_A",0.12
"s00118_B",0.115
"s00119_A",0.12
"s00119_B",0.115
"s00120_A",0.115
"s00120_B",0.115
"s00121_A",0.115
"s00121_B",0.115
"s00122_A",0.12
"s00122_B",0.115
"s00123_A",0.12
"s00123_B",0.115
"s00124_A",0.115
"s00124_B",0.115
"s00125_A",0.12
"s00125_B",0.115
"s00126_A",0.115
"s00126_B",0.115
"s00127_A",0.115
"s00127_B",0.115
"s00128_A",0.115
"s00128_B",0.12
"s00129_A",0.12
"s00129_B",0.115
"s00130_A",0.115
"s00130_B",0.12
"s00131_A",0.12
"s00131_B",0.115
"s00132_A",0.115
"s00132_B",0.12
"s00133_A",0.115
"s00133_B",0.115
"s00134_A",0.115
"s00134_B",0.12
"s00135_A",0.115
"s00135_B",0.12
"s00136_A",0.115
"s00136_B",0.12
"s00137_A",0.115
"s00137_B",0.12
"s00138_A",0.115
"s00138_B",0.115
"s00139_A",0.115
"s00139_B",0.12
"s00140_A",0.12
"s00140_B",0.115
"s00141_A",0.12
"s00141_B",0.115
"s00142_A",0.115
"s00142_B",0.115
"s00143_A",0.12
"s00143_B",0.115
"s00144_A",0.115
"s00144_B",0.12
"s00145_A",0.12
"s00145_B",0.115
"s00146_A",0.115
"s00146_B",0.12
"s00147_A",0.115
"s00147_B",0.115
"s00148_A",0.12
"s00148_B",0.115
"s00149_A",0.115
"s00149_B",0.115
"s00150_A",0.12
"s00150_B",0.11
"s00151_A",0.12
"s00151_B",0.115
"s00152_A",0.115
"s00152_B",0.12
"s00153_A",0.12
"s00153_B",0.115
"s00154_A",0.115
"s00154_B",0.12
"s00155_A",0.115
"s00155_B",0.12
"s00156_A",0.12
"s00156_B",0.115
"s00157_A",0.115
"s00157_B",0.12
"s00158_A",0.12
"s00158_B",0.115
"s00159_A",0.115
"s00159_B",0.12
"s00160_A",0.12
"s00160_B",0.115
"s00161_A",0.12
"s00161_B",0.115
"s00162_A",0.115
"s00162_B",0.12
"s00163_A",0.12
"s00163_B",0.115
"s00164_A",0.12
"s00164_B",0.115
"s00165_A",0.11
"s00165_B",0.125
"s00166_A",0.11
"s00166_B",0.12
"s00167_A",0.115
"s00167_B",0.115
"s00168_A",0.115
"s00168_B",0.12
"s00169_A",0.12
"s00169_B",0.115
"s00170_A",0.115
"s00170_B",0.115
"s00171_A",0.12
"s00171_B",0.11
"s00172_A",0.12
"s00172_B",0.115
"s00173_A",0.115
"s00173_B",0.12
"s00174_A",0.115
"s00174_B",0.115
"s00175_A",0.115
"s00175_B",0.12
"s00176_A",0.115
"s00176_B",0.115
"s00177_A",0.12
"s00177_B",0.115
"s00178_A",0.115
"s00178_B",0.115
"s00179_A",0.12
"s00179_B",0.115
"s00180_A",0.11
"s00180_B",0.12
"s00181_A",0.12
"s00181_B",0.115
"s00182_A",0.12
"s00182_B",0.115
"s00183_A",0.115
"s00183_B",0.115
"s00184_A",0.115
"s00184_B",0.12
"s00185_A",0.115
"s00185_B",0.12
"s00186_A",0.115
"s00186_B",0.115
"s00187_A",0.115
"s00187_B",0.115
"s00188_A",0.115
"s00188_B",0.12
"s00189_A",0.12
"s00189_B",0.115
"s00190_A",0.12
"s00190_B",0.115
"s00191_A",0.12
"s00191_B",0.115
"s00192_A",0.115
"s00192_B",0.115
"s00193_A",0.115
"s00193_B",0.12
"s00194_A",0.115
"s00194_B",0.115
"s00195_A",0.11
"s00195_B",0.12
"s00196_A",0.115
"s00196_B",0.12
"s00197_A",0.115
"s00197_B",0.12
"s00198_A",0.125
"s00198_B",0.115
"s00199_A",0.115
"s00199_B",0.115
"s00200_A",0.115
"s00200_B",0.115
"s00201_A",0.115
"s00201_B",0.12
"s00202_A",0.12
"s00202_B",0.115
"s00203_A",0.12
"s00203_B",0.115
"s00204_A",0.12
"s00204_B",0.115
"s00205_A",0.115
"s00205_B",0.115
"s00206_A",0.115
"s00206_B",0.12
"s00207_A",0.12
"s00207_B",0.115
"s00208_A",0.115
"s00208_B",0.12
"s00209_A",0.12
"s00209_B",0.115
"s00210_A",0.115
"s00210_B",0.115
"s00211_A",0.115
"s00211_B",0.12
"s00212_A",0.12
"s00212_B",0.115
"s00213_A",0.12
"s00213_B",0.115
"s00214_A",0.125
"s00214_B",0.11
"s00215_A",0.12
"s00215_B",0.115
"s00216_A",0.12
"s00216_B",0.115
"s00217_A",0.12
"s00217_B",0.115
"s00218_A",0.12
"s00218_B",0.115
"s00219_A",0.12
"s00219_B",0.115
"s00220_A",0.115
"s00220_B",0.12
"s00221_A",0.12
"s00221_B",0.11
"s00222_A",0.115
"s00222_B",0.12
"s00223_A",0.115
"s00223_B",0.12
"s00224_A",0.115
"s00224_B",0.12
"s00225_A",0.12
"s00225_B",0.115
"s00226_A",0.12
