"split_id","group","participant","intersection","union","jaccard"
601,"A","participant02",0,32,0
601,"A","participant03",0,32,0
601,"A","participant07",0,32,0
601,"A","participant10",0,32,0
601,"A","participant11",0,32,0
601,"A","participant12",0,32,0
601,"A","participant16",0,32,0
601,"A","participant19",0,32,0
601,"A","participant21",0,32,0
601,"A","participant22",0,32,0
601,"A","participant23",0,32,0
601,"A","participant27",0,32,0
601,"A","participant29",0,32,0
601,"A","participant30",0,32,0
601,"A","participant31",0,32,0
601,"A","participant32",0,32,0
601,"B","participant01",0,32,0
601,"B","participant04",0,32,0
601,"B","participant05",0,32,0
601,"B","participant06",0,32,0
601,"B","participant08",0,32,0
601,"B","participant09",0,32,0
601,"B","participant13",0,32,0
601,"B","participant14",0,32,0
601,"B","participant15",0,32,0
601,"B","participant17",0,32,0
601,"B","participant18",0,32,0
601,"B","participant20",0,32,0
601,"B","participant24",0,32,0
601,"B","participant25",0,32,0
601,"B","participant26",0,32,0
601,"B","participant28",0,32,0
602,"A","participant01",0,32,0
602,"A","participant06",0,32,0
602,"A","participant09",0,32,0
602,"A","participant13",0,32,0
602,"A","participant18",0,32,0
602,"A","participant20",0,32,0
602,"A","participant22",0,32,0
602,"A","participant23",0,32,0
602,"A","participant24",0,32,0
602,"A","participant25",0,32,0
602,"A","participant26",0,32,0
602,"A","participant27",0,32,0
602,"A","participant28",0,32,0
602,"A","participant30",0,32,0
602,"A","participant31",0,32,0
602,"A","participant32",0,32,0
602,"B","participant02",0,32,0
602,"B","participant03",0,32,0
602,"B","participant04",0,32,0
602,"B","participant05",0,32,0
602,"B","participant07",0,32,0
602,"B","participant08",0,32,0
602,"B","participant10",0,32,0
602,"B","participant11",0,32,0
602,"B","participant12",0,32,0
602,"B","participant14",0,32,0
602,"B","participant15",0,32,0
602,"B","participant16",0,32,0
602,"B","participant17",0,32,0
602,"B","participant19",0,32,0
602,"B","participant21",0,32,0
602,"B","participant29",0,32,0
603,"A","participant02",0,32,0
603,"A","participant04",0,32,0
603,"A","participant05",0,32,0
603,"A","participant08",0,32,0
603,"A","participant09",0,32,0
603,"A","participant12",0,32,0
603,"A","participant13",0,32,0
603,"A","participant18",0,32,0
603,"A","participant19",0,32,0
603,"A","participant21",0,32,0
603,"A","participant23",0,32,0
603,"A","participant24",0,32,0
603,"A","participant26",0,32,0
603,"A","participant27",0,32,0
603,"A","participant29",0,32,0
603,"A","participant32",0,32,0
603,"B","participant01",0,32,0
603,"B","participant03",0,32,0
603,"B","participant06",0,32,0
603,"B","participant07",0,32,0
603,"B","participant10",0,32,0
603,"B","participant11",0,32,0
603,"B","participant14",0,32,0
603,"B","participant15",0,32,0
603,"B","participant16",0,32,0
603,"B","participant17",0,32,0
603,"B","participant20",0,32,0
603,"B","participant22",0,32,0
603,"B","participant25",0,32,0
603,"B","participant28",0,32,0
603,"B","participant30",0,32,0
603,"B","participant31",0,32,0
604,"A","participant01",0,32,0
604,"A","participant02",0,32,0
604,"A","participant04",0,32,0
604,"A","participant06",0,32,0
604,"A","participant09",0,32,0
604,"A","participant10",0,32,0
604,"A","participant12",0,32,0
604,"A","participant15",0,32,0
604,"A","participant17",0,32,0
604,"A","participant20",0,32,0
604,"A","participant21",0,32,0
604,"A","participant22",0,32,0
604,"A","participant24",0,32,0
604,"A","participant29",0,32,0
604,"A","participant30",0,32,0
604,"A","participant31",0,32,0
604,"B","participant03",0,32,0
604,"B","participant05",0,32,0
604,"B","participant07",0,32,0
604,"B","participant08",0,32,0
604,"B","participant11",0,32,0
604,"B","participant13",0,32,0
604,"B","participant14",0,32,0
604,"B","participant16",0,32,0
604,"B","participant18",0,32,0
604,"B","participant19",0,32,0
604,"B","participant23",0,32,0
604,"B","participant25",0,32,0
604,"B","participant26",0,32,0
604,"B","participant27",0,32,0
604,"B","participant28",0,32,0
604,"B","participant32",0,32,0
605,"A","participant03",0,32,0
605,"A","participant05",0,32,0
605,"A","participant08",0,32,0
605,"A","participant11",0,32,0
605,"A","participant12",0,32,0
605,"A","participant13",0,32,0
605,"A","participant14",0,32,0
605,"A","participant18",0,32,0
605,"A","participant20",0,32,0
605,"A","participant22",0,32,0
605,"A","participant23",0,32,0
605,"A","participant24",0,32,0
605,"A","participant25",0,32,0
605,"A","participant26",0,32,0
605,"A","participant29",0,32,0
605,"A","participant32",0,32,0
605,"B","participant01",0,32,0
605,"B","participant02",0,32,0
605,"B","participant04",0,32,0
605,"B","participant06",0,32,0
605,"B","participant07",0,32,0
605,"B","participant09",0,32,0
605,"B","participant10",0,32,0
605,"B","participant15",0,32,0
605,"B","participant16",0,32,0
605,"B","participant17",0,32,0
605,"B","participant19",0,32,0
605,"B","participant21",0,32,0
605,"B","participant27",0,32,0
605,"B","participant28",0,32,0
605,"B","participant30",0,32,0
605,"B","participant31",0,32,0
606,"A","participant02",0,32,0
606,"A","participant08",0,32,0
606,"A","participant09",0,32,0
606,"A","participant10",0,32,0
606,"A","participant12",0,32,0
606,"A","participant13",0,32,0
606,"A","participant19",0,32,0
606,"A","participant20",0,32,0
606,"A","participant21",0,32,0
606,"A","participant22",0,32,0
606,"A","participant23",0,32,0
606,"A","participant26",0,32,0
606,"A","participant27",0,32,0
606,"A","participant28",0,32,0
606,"A","participant30",0,32,0
606,"A","participant31",0,32,0
606,"B","participant01",0,32,0
606,"B","participant03",0,32,0
606,"B","participant04",0,32,0
606,"B","participant05",0,32,0
606,"B","participant06",0,32,0
606,"B","participant07",0,32,0
606,"B","participant11",0,32,0
606,"B","participant14",0,32,0
606,"B","participant15",0,32,0
606,"B","participant16",0,32,0
606,"B","participant17",0,32,0
606,"B","participant18",0,32,0
606,"B","participant24",0,32,0
606,"B","participant25",0,32,0
606,"B","participant29",0,32,0
606,"B","participant32",0,32,0
607,"A","participant01",0,32,0
607,"A","participant02",0,32,0
607,"A","participant05",0,32,0
607,"A","participant07",0,32,0
607,"A","participant11",0,32,0
607,"A","participant13",0,32,0
607,"A","participant15",0,32,0
607,"A","participant16",0,32,0
607,"A","participant18",0,32,0
607,"A","participant20",0,32,0
607,"A","participant21",0,32,0
607,"A","participant22",0,32,0
607,"A","participant25",0,32,0
607,"A","participant26",0,32,0
607,"A","participant31",0,32,0
607,"A","participant32",0,32,0
607,"B","participant03",0,32,0
607,"B","participant04",0,32,0
607,"B","participant06",0,32,0
607,"B","participant08",0,32,0
607,"B","participant09",0,32,0
607,"B","participant10",0,32,0
607,"B","participant12",0,32,0
607,"B","participant14",0,32,0
607,"B","participant17",0,32,0
607,"B","participant19",0,32,0
607,"B","participant23",0,32,0
607,"B","participant24",0,32,0
607,"B","participant27",0,32,0
607,"B","participant28",0,32,0
607,"B","participant29",0,32,0
607,"B","participant30",0,32,0
608,"A","participant03",0,32,0
608,"A","participant05",0,32,0
608,"A","participant07",0,32,0
608,"A","participant08",0,32,0
608,"A","participant11",0,32,0
608,"A","participant13",0,32,0
608,"A","participant16",0,32,0
608,"A","participant17",0,32,0
608,"A","participant19",0,32,0
608,"A","participant20",0,32,0
608,"A","participant23",0,32,0
608,"A","participant24",0,32,0
608,"A","participant26",0,32,0
608,"A","participant28",0,32,0
608,"A","participant30",0,32,0
608,"A","participant32",0,32,0
608,"B","participant01",0,32,0
608,"B","participant02",0,32,0
608,"B","participant04",0,32,0
608,"B","participant06",0,32,0
608,"B","participant09",0,32,0
608,"B","participant10",0,32,0
608,"B","participant12",0,32,0
608,"B","participant14",0,32,0
608,"B","participant15",0,32,0
608,"B","participant18",0,32,0
608,"B","participant21",0,32,0
608,"B","participant22",0,32,0
608,"B","participant25",0,32,0
608,"B","participant27",0,32,0
608,"B","participant29",0,32,0
608,"B","participant31",0,32,0
609,"A","participant01",0,32,0
609,"A","participant05",0,32,0
609,"A","participant07",0,32,0
609,"A","participant09",0,32,0
609,"A","participant11",0,32,0
609,"A","participant12",0,32,0
609,"A","participant13",0,32,0
609,"A","participant17",0,32,0
609,"A","participant20",0,32,0
609,"A","participant21",0,32,0
609,"A","participant22",0,32,0
609,"A","participant26",0,32,0
609,"A","participant27",0,32,0
609,"A","participant29",0,32,0
609,"A","participant30",0,32,0
609,"A","participant32",0,32,0
609,"B","participant02",0,32,0
609,"B","participant03",0,32,0
609,"B","participant04",0,32,0
609,"B","participant06",0,32,0
609,"B","participant08",0,32,0
609,"B","participant10",0,32,0
609,"B","participant14",0,32,0
609,"B","participant15",0,32,0
609,"B","participant16",0,32,0
609,"B","participant18",0,32,0
609,"B","participant19",0,32,0
609,"B","participant23",0,32,0
609,"B","participant24",0,32,0
609,"B","participant25",0,32,0
609,"B","participant28",0,32,0
609,"B","participant31",0,32,0
610,"A","participant03",0,32,0
610,"A","participant04",0,32,0
610,"A","participant06",0,32,0
610,"A","participant07",0,32,0
610,"A","participant08",0,32,0
610,"A","participant11",0,32,0
610,"A","participant12",0,32,0
610,"A","participant15",0,32,0
610,"A","participant16",0,32,0
610,"A","participant18",0,32,0
610,"A","participant20",0,32,0
610,"A","participant24",0,32,0
610,"A","participant26",0,32,0
610,"A","participant27",0,32,0
610,"A","participant31",0,32,0
610,"A","participant32",0,32,0
610,"B","participant01",0,32,0
610,"B","participant02",0,32,0
610,"B","participant05",0,32,0
610,"B","participant09",0,32,0
610,"B","participant10",0,32,0
610,"B","participant13",0,32,0
610,"B","participant14",0,32,0
610,"B","participant17",0,32,0
610,"B","participant19",0,32,0
610,"B","participant21",0,32,0
610,"B","participant22",0,32,0
610,"B","participant23",0,32,0
610,"B","participant25",0,32,0
610,"B","participant28",0,32,0
610,"B","participant29",0,32,0
610,"B","participant30",0,32,0
611,"A","participant01",0,32,0
611,"A","participant02",0,32,0
611,"A","participant03",0,32,0
611,"A","participant05",0,32,0
611,"A","participant07",0,32,0
611,"A","participant09",0,32,0
611,"A","participant14",0,32,0
611,"A","participant15",0,32,0
611,"A","participant16",0,32,0
611,"A","participant19",0,32,0
611,"A","participant21",0,32,0
611,"A","participant22",0,32,0
611,"A","participant23",0,32,0
611,"A","participant25",0,32,0
611,"A","participant26",0,32,0
611,"A","participant32",0,32,0
611,"B","participant04",0,32,0
611,"B","participant06",0,32,0
611,"B","participant08",0,32,0
611,"B","participant10",0,32,0
611,"B","participant11",0,32,0
611,"B","participant12",0,32,0
611,"B","participant13",0,32,0
611,"B","participant17",0,32,0
611,"B","participant18",0,32,0
611,"B","participant20",0,32,0
611,"B","participant24",0,32,0
611,"B","participant27",0,32,0
611,"B","participant28",0,32,0
611,"B","participant29",0,32,0
611,"B","participant30",0,32,0
611,"B","participant31",0,32,0
612,"A","participant01",0,32,0
612,"A","participant02",0,32,0
612,"A","participant04",0,32,0
612,"A","participant06",0,32,0
612,"A","participant08",0,32,0
612,"A","participant09",0,32,0
612,"A","participant10",0,32,0
612,"A","participant14",0,32,0
612,"A","participant16",0,32,0
612,"A","participant19",0,32,0
612,"A","participant21",0,32,0
612,"A","participant23",0,32,0
612,"A","participant24",0,32,0
612,"A","participant26",0,32,0
612,"A","participant27",0,32,0
612,"A","participant29",0,32,0
612,"B","participant03",0,32,0
612,"B","participant05",0,32,0
612,"B","participant07",0,32,0
612,"B","participant11",0,32,0
612,"B","participant12",0,32,0
612,"B","participant13",0,32,0
